epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8187,1.03186,3.29809,1.07932,0.02471,0.48186,0.10147,0.07982,0.51337,3.24104,0.87895,3.334e-05,3.334e-05,3.334e-05
2,68.5596,0.91496,3.25149,1.02787,0.03783,0.78219,0.21801,0.17506,0.5844,3.21132,0.87291,8.16997e-05,8.16997e-05,8.16997e-05
3,95.4796,0.76476,2.88467,0.94673,0.04111,0.85767,0.28019,0.22425,0.63549,3.12418,0.86253,0.000128079,0.000128079,0.000128079
4,123.576,0.66469,2.33076,0.92702,0.04117,0.85712,0.34354,0.28461,0.5854,2.96627,0.8367,0.000172478,0.000172478,0.000172478
5,150.905,0.73672,1.9779,0.89366,0.9279,0.151,0.49176,0.39731,0.6227,2.64097,0.83337,0.000214896,0.000214896,0.000214896
6,187.288,0.66427,1.40749,0.89752,0.8158,0.2734,0.61479,0.48584,0.68624,2.41679,0.84765,0.000255334,0.000255334,0.000255334
7,217.076,0.64949,1.17904,0.88041,0.80192,0.32349,0.74715,0.6215,0.60954,2.21707,0.8315,0.000293792,0.000293792,0.000293792
8,248.184,0.64888,1.02955,0.89002,0.79947,0.33999,0.77359,0.65921,0.56473,2.1479,0.83019,0.000330269,0.000330269,0.000330269
9,284.766,0.67409,1.00639,0.89377,0.8377,0.47349,0.80519,0.70935,0.54516,2.04273,0.83759,0.000364766,0.000364766,0.000364766
10,324.703,0.59385,0.93019,0.88455,0.8363,0.56083,0.78893,0.69642,0.55722,1.97815,0.84123,0.000397283,0.000397283,0.000397283
11,357.283,0.62213,0.88874,0.88615,0.82325,0.70357,0.82526,0.73149,0.54693,1.81231,0.84029,0.000427819,0.000427819,0.000427819
12,391.408,0.57852,0.85733,0.90138,0.85988,0.7571,0.86258,0.75205,0.55601,1.70651,0.83954,0.000456375,0.000456375,0.000456375
